"_id","_labels","BOMID","id","名称","partType","productID","prop","供应商","制造方式","层级","数量","材料","核心物料","物料类别","结构号","规格","_start","_end","_type"
"6825",":temp","4","DC-3030119-006","绕组","部件","Y05060-002copy","","","","6","1","","","绕组","1.0004.0009.0001.0001.0002","",,,
"6826",":temp","4","DC-3030119-007","聚酯漆包圆铜线","零件","Y05060-002copy","","","","7","1","","","聚酯漆包圆铜线","1.0004.0009.0001.0001.0002.0001","样机阶段采用自粘硅钢片",,,
"6827",":temp","4","DC-3030119-008","槽绝缘","零件","Y05060-002copy","","","","6","1","","","槽绝缘","1.0004.0009.0001.0001.0003","200级耐电晕漆包圆铜线",,,
"6828",":temp","4","DC-3030119-009","层间绝缘","零件","Y05060-002copy","","","","6","1","","","层间绝缘","1.0004.0009.0001.0001.0004","NHN6650",,,
"6829",":temp","4","DC-3030119-010","相间绝缘","零件","Y05060-002copy","","","","6","1","","","相间绝缘","1.0004.0009.0001.0001.0005","NHN6650",,,
"6830",":temp","4","DC-3030119-011","盖槽纸","零件","Y05060-002copy","","","","6","1","","","盖槽纸","1.0004.0009.0001.0001.0006","NHN6650",,,
"6831",":temp","4","DC-3030119-012","绝缘套管","零件","Y05060-002copy","","","","6","1","","","绝缘套管","1.0004.0009.0001.0001.0007","NHN6650",,,
"6832",":temp","4","DC-3030119-013","绝缘端板","零件","Y05060-002copy","","","","6","1","","","绝缘端板","1.0004.0009.0001.0001.0008","硅树脂玻璃纤维套管(H级)",,,
"6833",":temp","4","DC-3030119-014","槽楔","零件","Y05060-002copy","","","","6","1","","","槽楔","1.0004.0009.0001.0001.0009","双马来板",,,
"6834",":temp","4","DC-3030119-015","浸漆用绝缘漆及稀释剂","零件","Y05060-002copy","","","","6","1","","","绝缘漆","1.0004.0009.0001.0001.0010","双马来板",,,
"6835",":temp","4","DC-3030119-016","热缩套管","零件","Y05060-002copy","","","","6","1","","","热缩套管","1.0004.0009.0001.0001.0011","",,,
"6836",":temp","4","DC-3030119-017","热敏元件","零件","Y05060-002copy","","","","6","1","","","热敏元件","1.0004.0009.0001.0001.0012","氟橡胶",,,
"6837",":temp","4","DC-3030119-018","银铜焊条紫铜管","部件","Y05060-002copy","","","","6","1","","","银铜焊条紫铜管","1.0004.0009.0001.0001.0013","NTC或PT100",,,
"6838",":temp","4","DC-3030119-019","机座","零件","Y05060-002copy","","","","7","1","","","机座","1.0004.0009.0001.0001.0013.0001","",,,
"6839",":temp","4","DC-3030119-020","进出水口","零件","Y05060-002copy","","","","7","1","","","进出水口","1.0004.0009.0001.0001.0013.0002","",,,
"6840",":temp","4","DC-3030119-021","内套","零件","Y05060-002copy","","","","6","1","","","内套","1.0004.0009.0001.0001.0014","",,,
"6841",":temp","4","DC-3030119-022","外套","部件","Y05060-002copy","","","","6","1","","","外套","1.0004.0009.0001.0001.0015","ZL101A",,,
"6842",":temp","4","DC-3030119-023","接线端子","零件","Y05060-002copy","","","","7","1","","","接线端子","1.0004.0009.0001.0001.0015.0001","ZL101A",,,
"6843",":temp","4","DC-3030119-024","定子轴向固定块","零件","Y05060-002copy","","","","7","1","","","定子轴向固定块","1.0004.0009.0001.0001.0015.0002","",,,
"6844",":temp","4","DC-3030119-025","转子","部件","Y05060-002copy","","","","4","1","","","转子","1.0004.0009.0002","6061-T6",,,
"6845",":temp","4","DC-3030119-026","转子铁心","部件","Y05060-002copy","","","","5","1","","","转子铁心","1.0004.0009.0002.0001","",,,
"6846",":temp","4","DC-3030119-027","转子冲片","部件","Y05060-002copy","","","","6","1","","","转子冲片","1.0004.0009.0002.0001.0001","",,,
"6847",":temp","4","DC-3030119-028","硅钢片","零件","Y05060-002copy","","","","7","1","","","硅钢片","1.0004.0009.0002.0001.0001.0001","35WW270样机阶段采用自粘硅钢片",,,
"6848",":temp","4","DC-3030119-029","磁钢","零件","Y05060-002copy","","","","5","1","","","磁钢","1.0004.0009.0002.0002","烧结钕铁硼35EH",,,
"6849",":temp","4","DC-3030119-030","转子支架","零件","Y05060-002copy","","","","5","1","","","转子支架","1.0004.0009.0002.0003","QT500铸造(批量)",,,
"6850",":temp","4","DC-3030119-031","轴","零件","Y05060-002copy","","","","5","1","","","轴","1.0004.0009.0002.0004","20CrNiMo",,,
"6851",":temp","4","DC-3030119-032","键","零件","Y05060-002copy","","","","5","1","","","键","1.0004.0009.0002.0005","20CrMnTi",,,
"6852",":temp","4","DC-3030119-033","平衡端板","零件","Y05060-002copy","","","","5","1","","","平衡端板","1.0004.0009.0002.0006","45钢",,,
"6853",":temp","4","DC-3030119-034","环氧胶","零件","Y05060-002copy","","","","5","1","","","环氧胶","1.0004.0009.0002.0007","不锈钢403",,,
"6854",":temp","4","DC-3030119-035","旋转变压器","零件","Y05060-002copy","","","","4","1","","","旋转变压器","1.0004.0009.0003","",,,
"6855",":temp","4","DC-3030119-036","轴承","零件","Y05060-002copy","","","外购","4","1","","是","轴承","1.0004.0009.0004","多么川",,,
"6856",":temp","4","DC-3030119-037","油封","零件","Y05060-002copy","","","外购","4","1","","是","油封","1.0004.0009.0005","SKF NSK FAG",,,
"6857",":temp","4","DC-3030119-038","前后端盖","零件","Y05060-002copy","","","","4","1","","","前后端盖","1.0004.0009.0006","NAK NOK",,,
"6858",":temp","4","DC-3030119-039","接线盒","部件","Y05060-002copy","","","","4","1","","","接线盒","1.0004.0009.0007","ZL101A",,,
"6859",":temp","4","DC-3030119-040","接线盒盖","零件","Y05060-002copy","","","","5","1","","","接线盒盖","1.0004.0009.0007.0001","ZL101A ADC12",,,
"6860",":temp","4","DC-3030119-041","接线盒座","零件","Y05060-002copy","","","","5","1","","","接线盒座","1.0004.0009.0007.0002","ADC12",,,
"6861",":temp","4","DC-3030119-042","防水接头","零件","Y05060-002copy","","","","5","1","","","防水接头","1.0004.0009.0007.0003","ADC12",,,
"6862",":temp","4","DC-3030119-043","接线板","部件","Y05060-002copy","","","","5","1","","","接线板","1.0004.0009.0007.0004","",,,
"6863",":temp","4","DC-3030119-044","接线板体","零件","Y05060-002copy","","","","6","1","","","接线板体","1.0004.0009.0007.0004.0001","高温尼龙",,,
"6864",":temp","4","DC-3030119-045","接线螺栓","零件","Y05060-002copy","","","","6","1","","","接线螺栓","1.0004.0009.0007.0004.0002","",,,
"6865",":temp","4","DC-3030119-046","接线链接片","零件","Y05060-002copy","","","","6","1","","","接线链接片","1.0004.0009.0007.0004.0003","紫铜",,,
"6866",":temp","4","DC-3030119-047","弱电接线连接器","零件","Y05060-002copy","","","","6","1","","","弱电接线连接器","1.0004.0009.0007.0004.0004","",,,
"6867",":temp","4","5040054-000","DC电机贴-HC-595","零件","Y05060-002copy","","","","3","1","","否","DC电机贴","1.0004.0010","EVA30*10*1.0黑色300595301A",,,
"6868",":temp","4","2080132-000","偏心轮-HC-530","零件","Y05060-002copy","","","","3","1","","","偏心轮","1.0004.0011","黄铜Φ5.0*9.2300530201A",,,
"6869",":temp","4","2070227-000","正极片-HC-530","零件","Y05060-002copy","","","","3","1","","","正极片","1.0004.0012","磷铜T0.3镀镍300530205A",,,
"6870",":temp","4","2070172-000","负极弹片-HC-581","零件","Y05060-002copy","","","","3","1","","","负极弹片","1.0004.0013","磷铜片T0.3电镀300581201A",,,
"6871",":temp","4","2070112-000","行程接触片-HC-577","零件","Y05060-002copy","","","","3","1","","","行程接触片","1.0004.0014","铍青铜T0.2镀银300577202A",,,
"6872",":temp","4","2050075-000","螺丝-铁","零件","Y05060-002copy","","","","3","1","","","螺丝","1.0004.0015","PT2*8十字槽镀镍",,,
"6873",":temp","4","2050068-000","螺丝-铁","零件","Y05060-002copy","","","","3","1","","","螺丝","1.0004.0016","PTW2*5十字槽垫圈D5.0镀镍",,,
"6874",":temp","4","2050093-000","螺丝-铁","零件","Y05060-002copy","","","","3","1","","","螺丝","1.0004.0017","Φ2.5*6十字槽镀镍300530209A",,,
"6875",":temp","4","3070611-000","PCB组件-HC-581","零件","Y05060-002copy","","","","3","1","","","电子板","1.0004.0018","300581701A",,,
"6876",":temp","4","S05060000-00","刀头组件-HC-581","部件","Y05060-002copy","","","","3","1","","","刀头组件","1.0004.0019","",,,
"6877",":temp","4","1010317-000","刀座-HC-530","部件","Y05060-002copy","","","","4","1","","","刀座","1.0004.0019.0001","POMF20-03黑色300530110A",,,
"6878",":temp","4","1040045-000","POM-南通宝泰菱","零件","Y05060-002copy","","","","5","1","","","POM","1.0004.0019.0001.0001","POMF20-03",,,
"6879",":temp","4","1040096-000","母粒-特黑","零件","Y05060-002copy","","","","5","1","","","母粒","1.0004.0019.0001.0002","1号",,,
"6880",":temp","4","5020005-000","定刀片-HC-530","零件","Y05060-002copy","","","","4","1","","","定刀片","1.0004.0019.0002","420J2HRC56-58抛光300530203A",,,
"6881",":temp","4","5020006-000","动刀片-HC-530","零件","Y05060-002copy","","","","4","1","","","动刀片","1.0004.0019.0003","420J2HRC55-57抛光300530202A",,,
"6882",":temp","4","1051407-000","刀垫-HC-581","部件","Y05060-002copy","","","","4","1","","","刀垫","1.0004.0019.0004","POMF20-03本色300581108A",,,
"6883",":temp","4","1040045-000","POM-南通宝泰菱","零件","Y05060-002copy","","","","5","1","","","POM","1.0004.0019.0004.0001","POMF20-03",,,
"6899",":temp","4","2020021-000","动刀扭簧-HC-530","零件","Y05060-002copy","","","","4","1","","","弹簧","1.0004.0019.0005","琴钢线Ф0.8煲黑300530207A",,,
"6900",":temp","4","2050093-000","螺丝-铁","零件","Y05060-002copy","","","","4","1","","","螺丝","1.0004.0019.0006","Φ2.5*6十字槽镀镍300530209A",,,
"6901",":temp","4","3015272-000","电子线-QIFURUI","零件","Y05060-002copy","","","","3","1","","","电子线","1.0004.0020","UL100724AWGL75剥线4留胶+剥线4浸锡红色",,,
"6902",":temp","4","3015273-000","电子线-QIFURUI","零件","Y05060-002copy","","","","3","1","","","电子线","1.0004.0021","UL100724AWGL45剥线4留胶+剥线4浸锡红色",,,
"6903",":temp","4","3015283-000","电子线-QIFURUI","零件","Y05060-002copy","","","","3","1","","","电子线","1.0004.0022","UL100724AWGL45剥线4留胶+剥线4留胶黑色",,,
"6904",":temp","4","2020404-000","负极弹片压簧-HC-581","零件","Y05060-002copy","","","","3","1","","","弹簧","1.0004.0023","琴钢线OD3.8*4.6*Φ0.55圈300581202A",,,
