label,name,名称,物料类别,数量,BOMID,partType,productID,prop,供应商,制造方式,材料,核心物料,结构号,规格
电池盖,1051118-000,电池盖-HC-581,电池盖,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0006.0001,ABS灰色MA91279300581106A
ABS,1040006-000,ABS-韩国锦湖,ABS,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0006.0001.0001,ABS750NSW
母粒,1044620-000,母粒-420C浅灰,母粒,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0006.0001.0002,MA91279ABS
油墨,6030013-000,油墨-8503,油墨,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0006.0002,黑色
挡发海绵,5040003-000,挡发海绵-HC-530,挡发海绵,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0007,海绵40*4*4单面背3M胶300530301A
电机压板,1051009-000,电机压板-HC-581,电机压板,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0008,POM本色300581107A
POM,1040045-000,POM-南通宝泰菱,POM,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0008.0001,POMF20-03
电机,3030119-000,DC电机-HC-530,电机,1,4,部件,Y05060-002copy,-,-,外购,-,是,1.0004.0009,MFF-2025SA-4503-R11.5V300530702A
定子,DC-3030119-001,定子,定子,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001,-
有绕组定子铁心,DC-3030119-002,有绕组定子铁心,有绕组定子铁心,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001,-
定子铁心,DC-3030119-003,定子铁心,定子铁心,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0001,-
定子冲片,DC-3030119-004,定子冲片,定子冲片,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0001.0001,-
硅钢片,DC-3030119-005,硅钢片,硅钢片,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0001.0001.0001,35WW270
绕组,DC-3030119-006,绕组,绕组,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0002,-
聚酯漆包圆铜线,DC-3030119-007,聚酯漆包圆铜线,聚酯漆包圆铜线,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0002.0001,样机阶段采用自粘硅钢片
槽绝缘,DC-3030119-008,槽绝缘,槽绝缘,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0003,200级耐电晕漆包圆铜线
层间绝缘,DC-3030119-009,层间绝缘,层间绝缘,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0004,NHN6650
相间绝缘,DC-3030119-010,相间绝缘,相间绝缘,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0005,NHN6650
盖槽纸,DC-3030119-011,盖槽纸,盖槽纸,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0006,NHN6650
绝缘套管,DC-3030119-012,绝缘套管,绝缘套管,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0007,NHN6650
绝缘端板,DC-3030119-013,绝缘端板,绝缘端板,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0008,硅树脂玻璃纤维套管(H级)
槽楔,DC-3030119-014,槽楔,槽楔,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0009,双马来板
绝缘漆,DC-3030119-015,浸漆用绝缘漆及稀释剂,绝缘漆,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0010,双马来板
热缩套管,DC-3030119-016,热缩套管,热缩套管,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0011,-
热敏元件,DC-3030119-017,热敏元件,热敏元件,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0012,氟橡胶
银铜焊条紫铜管,DC-3030119-018,银铜焊条紫铜管,银铜焊条紫铜管,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0013,NTC或PT100
机座,DC-3030119-019,机座,机座,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0013.0001,-
进出水口,DC-3030119-020,进出水口,进出水口,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0013.0002,-
内套,DC-3030119-021,内套,内套,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0014,-
外套,DC-3030119-022,外套,外套,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0015,ZL101A
接线端子,DC-3030119-023,接线端子,接线端子,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0015.0001,ZL101A
定子轴向固定块,DC-3030119-024,定子轴向固定块,定子轴向固定块,1,4,零件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0001.0001.0015.0002,-
转子,DC-3030119-025,转子,转子,1,4,部件,Y05060-002copy,-,-,-,-,-,1.0004.0009.0002,6061-T6
